type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
exit,2025-03-13 00:00:00,,2.5238,16708493.037583616,,843.3778945650706,7586900.187373428,,,-356734.2795950977,-17.06331748251756,signal_reversal
entry,2025-03-13 00:00:00,BUY,2.5238,21472440.048943877,2709607.209776228,1083.842883910491,7585816.344489518,2.4531336,2.7357992,,,
exit,2025-03-13 01:00:00,,2.5025,21472440.048943877,,1074.695624449641,9836985.88559879,,,-458437.6686669563,-16.918971392344954,signal_reversal
entry,2025-03-13 01:00:00,SELL,2.5025,28077596.362491254,3513209.244856718,1405.2836979426872,9835580.601900848,2.57257,2.29229,,,
exit,2025-03-13 01:30:00,,2.5239,28077596.362491254,,1417.3009091858335,12746511.98369107,,,-602277.8630664948,-17.14323916083905,signal_reversal
entry,2025-03-13 01:30:00,BUY,2.5239,36073740.7065342,4552325.708461083,1820.930283384433,12744691.053407686,2.4532307999999996,2.7359076,,,
exit,2025-03-13 02:15:00,,2.5025,36073740.7065342,,1805.4907223620366,16523233.220026579,,,-773783.541842189,-16.99754348429008,signal_reversal
entry,2025-03-13 02:15:00,SELL,2.5025,47162075.6958088,5901154.721438075,2360.46188857523,16520872.758138003,2.57257,2.29229,,,
exit,2025-03-13 02:45:00,,2.5239,47162075.6958088,,2380.6472569730363,21410378.412428804,,,-1011649.067147275,-17.143239160839055,signal_reversal
entry,2025-03-13 02:45:00,BUY,2.5239,60593238.390780546,7646563.718724551,3058.6254874898204,21407319.786941312,2.4532307999999996,2.7359076,,,
exit,2025-03-13 04:45:00,,2.5025,60593238.390780546,,3032.6915814585664,27754155.51252171,,,-1299727.9931441539,-16.997543484290077,signal_reversal
entry,2025-03-13 04:45:00,SELL,2.5025,79218368.80982381,9912198.397329204,3964.8793589316815,27750190.633162778,2.57257,2.29229,,,
exit,2025-03-13 06:00:00,,2.5239,79218368.80982381,,3998.7848207822863,35963117.15314098,,,-1699271.877351001,-17.14323916083905,signal_reversal
entry,2025-03-13 06:00:00,BUY,2.5239,101778758.36472146,12843970.411836024,5137.58816473441,35957979.564976245,2.4532307999999996,2.7359076,,,
exit,2025-03-13 06:15:00,,2.5025,101778758.36472146,,5094.02685615431,46618790.52095109,,,-2183159.4558611796,-16.997543484290077,signal_reversal
entry,2025-03-13 06:15:00,SELL,2.5025,133063480.86471012,16649568.043196853,6659.827217278742,46612130.69373381,2.57257,2.29229,,,
exit,2025-03-13 06:30:00,,2.5239,133063480.86471012,,6716.778387088839,60407423.4680388,,,-2854275.2688918673,-17.14323916083905,signal_reversal
entry,2025-03-13 06:30:00,BUY,2.5239,170958277.3486572,21574079.810013793,8629.631924005518,60398793.836114794,2.4532307999999996,2.7359076,,,
exit,2025-03-13 07:45:00,,2.5025,170958277.3486572,,8556.461781300291,78305810.04908605,,,-3667063.5970425406,-16.997543484290077,signal_reversal
entry,2025-03-13 07:45:00,SELL,2.5025,223507378.47605598,27966360.731816508,11186.544292726603,78294623.50479332,2.57257,2.29229,,,
exit,2025-03-13 08:00:00,,2.5239,223507378.47605598,,11282.205450714353,101466644.13177153,,,-4794340.104838282,-17.143239160839048,signal_reversal
entry,2025-03-13 08:00:00,BUY,2.5239,287159453.1472586,36238087.189918295,14495.234875967319,101452148.89689557,2.4532307999999996,2.7359076,,,
exit,2025-03-13 08:30:00,,2.5025,287159453.1472586,,14372.330630020291,131530651.45883256,,,-6159584.627981314,-16.997543484290077,signal_reversal
entry,2025-03-13 08:30:00,SELL,2.5025,375426434.87607497,46975232.66386888,18790.093065547553,131511861.36576702,2.57257,2.29229,,,
exit,2025-03-13 08:45:00,,2.5239,375426434.87607497,,18950.77557967451,170434017.54770827,,,-8053076.481927628,-17.14323916083905,signal_reversal
entry,2025-03-13 08:45:00,BUY,2.5239,482343135.4754484,60869291.98132421,24347.716792529685,170409669.83091575,2.4532307999999996,2.7359076,,,
exit,2025-03-13 10:00:00,,2.5025,482343135.4754484,,24141.273930546195,220932677.4391349,,,-10346284.373105077,-16.997543484290077,signal_reversal
entry,2025-03-13 10:00:00,SELL,2.5025,630605615.6390334,78904527.65683405,31561.81106273362,220901115.62807217,2.57257,2.29229,,,
exit,2025-03-13 11:45:00,,2.5205,630605615.6390334,,31788.829084363682,288422953.3743191,,,-11382689.910587115,-14.425902097902288,signal_reversal
entry,2025-03-13 11:45:00,BUY,2.5205,817363202.8064685,103008197.6336852,41203.279053474085,288381750.0952656,2.449926,2.7322220000000006,,,
exit,2025-03-13 13:15:00,,2.5024,817363202.8064685,,40907.393574058144,376554766.3645797,,,-14835181.364371143,-14.401942471731804,signal_reversal
entry,2025-03-13 13:15:00,SELL,2.5024,1074838915.6826012,134483845.13020706,53793.538052082826,376500972.8265276,2.5724672,2.2921984,,,
exit,2025-03-13 15:00:00,,2.524,1074838915.6826012,,54257.868463657716,487714039.50952697,,,-23270778.447207674,-17.3037723785165,signal_reversal
entry,2025-03-13 15:00:00,BUY,2.524,1380218585.8884044,174183585.53911662,69673.43421564664,487644366.0753113,2.453328,2.7360160000000002,,,
exit,2025-03-13 21:30:00,,2.5023,1380218585.8884044,,69074.41934937108,631808133.8813001,,,-30019817.73312782,-17.234584786053926,signal_reversal
entry,2025-03-13 21:30:00,SELL,2.5023,1803506870.4828668,225645762.10046387,90258.30484018555,631717875.5764599,2.5723644,2.2921068,,,
exit,2025-03-13 22:45:00,,2.524,1803506870.4828668,,91041.02682197512,818136497.5606234,,,-39227140.116300285,-17.384390360868046,signal_reversal
entry,2025-03-13 22:45:00,BUY,2.524,2315305913.4045243,292191606.27165097,116876.6425086604,818019620.9181148,2.453328,2.7360160000000002,,,
exit,2025-03-14 00:00:00,,2.5023,2315305913.4045243,,115871.79974224285,1059853217.0691452,,,-50358010.12062054,-17.234584786053926,signal_reversal
