type,date,side,price,intended_price,slippage_pct,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reinvested,reason
exit,2025-03-20 21:10:00,,127.9542289750523,127.72,0.18339255798018755,107.2090429728721,,0.5487140173098839,8194.62843593193,,,-22.414507963226065,-1.6365751389443746,0.0,signal_reversal
entry,2025-03-20 21:10:00,BUY,127.79631109054067,127.72,0.059748739853325857,128.24514833023986,1638.9256871863863,0.6555702748745545,8193.972865657057,124.527,137.9376,,,,
exit,2025-03-20 23:20:00,,127.70351460362342,127.84,0.10676266925578287,128.24514833023986,,0.6550942469053855,9820.34275936731,,,-12.555793476133438,-0.7660990107299193,0.0,signal_reversal
entry,2025-03-20 23:20:00,SELL,127.68464185081478,127.84,0.12152546087705318,153.82183192934482,1964.068551873462,0.7856274207493849,9819.55713194656,131.036,117.61280000000001,,,,
exit,2025-03-21 03:00:00,,128.34100983313186,128.1,0.18814194623877153,153.82183192934482,,0.789665969767776,11681.872292390473,,,-101.75339142954864,-5.180745414027904,0.0,signal_reversal
entry,2025-03-21 03:00:00,BUY,128.25537628759935,128.1,0.12129296455843015,182.16581059643207,2336.3744584780948,0.934549783391238,11680.937742607082,124.8975,138.348,,,,
exit,2025-03-21 04:20:00,,128.22064213262627,128.43,0.16301321137874747,182.16581059643207,,0.9342966883713958,14010.050528900752,,,-7.2616721844246,-0.31080943202721134,0.0,signal_reversal
entry,2025-03-21 04:20:00,SELL,128.24649801324233,128.43,0.14288093650835174,218.48628611214195,2802.0101057801508,1.1208040423120604,14008.92972485844,131.64075,118.1556,,,,
exit,2025-03-21 05:05:00,,127.96205737832575,127.85,0.08764753877650044,218.48628611214195,,1.1183181871943682,16826.196845577368,,,61.02805975510841,2.1780099803785915,45.771044816331305,signal_reversal
entry,2025-03-21 05:05:00,BUY,128.01284878685235,127.85,0.12737488216842202,262.88293722130675,3365.239369115474,1.3460957476461897,16824.850749829722,124.65374999999999,138.078,,,,
exit,2025-03-21 08:00:00,,128.34188511631925,128.47,0.09972358035397705,262.88293722130675,,1.3495556691159005,20211.37723921361,,,85.14848107366092,2.5302354969192438,63.86136080524569,signal_reversal
entry,2025-03-21 08:00:00,SELL,128.31738504716782,128.47,0.11879423432099809,315.0216509132284,4042.275447842722,1.6169101791370888,20209.76032903447,131.68175,118.1924,,,,
exit,2025-03-21 09:40:00,,128.04268924602965,127.83,0.16638445281205078,315.0216509132284,,1.6134487741461496,24273.266195877026,,,84.9216759993305,2.1008384286293857,63.69125699949788,signal_reversal
entry,2025-03-21 09:40:00,BUY,127.97236894809946,127.83,0.11137365884334191,379.35167404334453,4854.653239175405,1.9418612956701622,24271.324334581357,124.63425,138.0564,,,,
exit,2025-03-21 12:20:00,,126.51967528881279,126.76,0.18959033700473962,379.35167404334453,,1.9198180248092602,28572.975984209406,,,-553.0015895473581,-11.391165595203027,0.0,signal_reversal
